番号,単語,意味,解説文
4,mean,を意味する；（...する）つもりである,
32,measure,を測る；を評価する,
34,mark,に印をつける；を示す；に汚れをつける,
53,matter,事柄；問題；困難；物質,
59,memory,記憶（力）；思い出,
73,material,材料，素材；資料；生地,
88,major,主要な；大きい；長調の,
128,mention,に言及する；と言う,
144,medium,（情報伝達の）媒体；手段,
149,model,模範；モデル；模型；型,
162,method,方法；体系；秩序,
165,medicine,薬；医学,
183,mental,精神の；知能の；頭の中で行う,
195,mobile,可動式の；流動性のある,
204,manage,をなんとか成し遂げる；を管理する,
206,maintain,を維持する；と主張する；を養う,
225,match,（と）合う；に匹敵する；一致する,
288,moral,道徳（上）の，倫理的な,
351,manner,作法；方法；物腰,
388,military,軍の，軍事（用）の,
397,mass,大規模な，大量の；大衆向けの,
470,mammal,哺乳動物,
479,multiple,多様な；種々雑多な,
536,manufacture,を製造する；をでっち上げる,
552,minister,大臣；（プロテスタント系の）聖職者,
564,mood,気分；機嫌；雰囲気,
565,motion,動き，動作；運動；動議,
568,myth,作り話；神話,
587,minor,重要でない；小さい,
636,monitor,を監視する；を傍受する,
653,minimum,最小限度,
692,meaningful,意味のある,
698,mere,単なる，ほんの,
704,melt,溶ける；なごむ；を溶かす,
744,mission,使命；（外交）使節団；布教,
748,motor,モーター；原動力,
757,means,手段；資力，収入,
790,marine,海の；船舶の,
834,misunderstand,（を）誤解する,
839,modify,を修正する；を緩和する,
844,mode,方式；気分；形態；流行,
853,mall,モール，ショッピングセンター,
889,manual,体（手）を使う；手の；手動式の,
890,mechanical,機械の；機械的な,
899,mature,成熟した；熟した,
935,mount,を据えつける；に着手する；（自転車など）に乗る；増える,
951,mill,製造工場；製粉所；粉ひき機,
961,metaphor,隠喩；比喩,
965,maximum,最大限,
967,mineral,鉱物；ミネラル,
976,mixture,混合（物）,
983,mutual,相互の；共通の,
986,magnetic,磁気の；磁石の；人を引きつける,
998,modest,謙虚な；適度な；質素な,
1043,merit,利点；功績；真価,
1060,molecule,分子；微粒子,
1082,moderate,適度な；穏健な,
1097,medieval,中世の；時代遅れの,
1120,migrate,移住する；（鳥などが）渡る,
1127,mislead,を誤解させる，欺く；間違った方向に導く,
1146,millennium,千年間，千年紀,
1147,mankind,人類,
1148,Muslim,イスラム教徒,
1162,microbe,微生物；細菌,
1170,mess,散らかった状態；混乱状態,
1274,motive,動機,
1277,monument,記念碑，遺跡；金字塔,
1291,mild,穏やかな；（程度が）軽い,
1298,magnificent,壮大な；見事な,
1310,manipulate,を（巧みに）操る；を改ざんする,
1348,mainstream,（活動・思潮などの）主流；大勢,
1377,monk,修道士，僧,
1448,mutation,突然変異（体）；変化,
1460,maze,迷路；複雑に込み入ったもの,
1488,metropolitan,大都市の，首都圏の,
1489,monetary,金銭的な；金融の,
1549,margin,余白；差；利ざや,
1562,makeup,化粧；化粧品；構成；性質,
1563,mummy,ミイラ；ママ，お母さん,
1575,manuscript,（手書きの）原稿；写本,
1667,moisture,水分；湿気,
1681,masculine,男らしい,
1723,mock,をばかにする；のまねをしてからかう,
1750,metabolism,（新陳）代謝，代謝作用,
1757,monopoly,独占（権）,
1759,merchandise,商品,
1771,masterpiece,傑作,
1786,maternal,母の，母親らしい；妊婦の,
1803,merge,（を）合併する；を融合させる；溶け込む,
1813,mourn,（を）悼む；（を）嘆く,
1856,mercy,慈悲；幸運,
1863,mortgage,住宅ローン；抵当（権）,
1869,mold,鋳型；鋳物；性格；かび,
1894,monotonous,単調な,
1899,mortal,致命的な；死すべき（運命の）,
