番号,単語,意味,解説文
215,unite,を団結させる；結合する,
282,universal,普遍的な；宇宙の；万能の,
299,urban,都市の；都会的な,
492,unknown,不明の；知られていない，無名の,
594,unexpected,思いがけない，不意の,
631,upset,を動揺させる；をだめにする,
709,urge,に（強く）促す；を強く主張する；を駆り立てる,
776,usage,（使）用法；語法；習慣,
787,unfamiliar,（～に）不慣れな；知られていない,
884,unpleasant,不愉快な；不親切な，無礼な,
886,ultimate,究極の,
922,underlie,の根底にある,
937,undergo,を経験する；（手術など）を受ける；に耐える,
992,unrelated,無関係の；血縁関係がない,
996,urgent,緊急の,
1112,undertake,を引き受ける；を保証する；に着手する,
1167,undergraduate,学部学生,
1236,uncover,を暴く；を発掘する,
1251,utility,公共事業；公共料金；実用性,
1324,utilize,を利用する,
1380,unprecedented,前例のない；空前の,
1401,update,を最新のものにする；をアップデートする,
1424,underestimate,（を）過小評価する；（を）軽く見る,
1432,undermine,を徐々にむしばむ；を侵食する,
1512,utter,（声）を発する；（考えなど）を述べる,
1538,unfold,（閉じたもの）を開く；を明らかにする；明らかになる,
1586,uneasy,不安な；落ち着かない；ぎこちない,
1738,unify,を統合する，統一する；統一される,
1800,ubiquitous,至る所にある,
