番号,単語,意味,解説文
94,native,出生地の；原産の；生得の,
101,notice,に気づく,
180,negative,否定的な；消極的な；陰性の,
196,novel,斬新な，目新しい,
199,necessary,必要な,
389,nuclear,核の，原子力の,
400,nevertheless,それにもかかわらず,
444,neighborhood,地域；近所,
453,notion,概念，観念；見解；意向,
476,norm,規範；標準,
480,numerous,非常に数の多い,
481,narrow,狭い；細い；限られた,
733,neglect,をおろそかにする，怠る；を無視する,
851,nerve,神経；神経過敏；度胸,
944,neuron,ニューロン，神経単位,
984,neutral,中立の；はっきりしない,
1000,nonetheless,それにもかかわらず，それでもなお,
1001,negotiate,交渉する；を（交渉して）取り決める,
1033,nod,うなずく；会釈する；うとうとする,
1058,nutrition,栄養（の摂取）,
1061,nationality,国籍；国民；国民性,
1069,narrative,物語，話；叙述部分,
1184,noble,高貴な；堂々とした；高潔な,
1210,nurture,をはぐくむ；を養成する,
1353,nightmare,悪夢（のような状況）；不安感,
1400,notable,注目に値する；著名な,
1416,navigate,（を）誘導する；（を）操縦する；（を）航行する,
1481,naked,裸の,
1498,neat,きちんとした；見事な,
1560,nursery,託児所；苗床,
1570,nonsense,ばかげた物；無意味な言葉,
1695,naive,お人よしの，愚直な；純朴な,
1815,nourish,に栄養を与える；をはぐくむ,
1888,notorious,悪名高い,
1898,numb,麻痺した，無感覚な；ぼう然とした,
