番号,単語,意味,解説文
1,create,を創り出す；を引き起こす,
7,consider,を見なす；について考える,
17,concern,心配している；関係する；に関連する,
31,compare,を比較する；をたとえる,
35,challenge,に異議を唱える；に挑む,
40,complete,を完成させる，仕上げる,
43,company,会社；仲間；一緒にいること,
46,cause,原因；理由；大義,
76,community,（共同）社会；地域社会；地域住民,
78,culture,文化；教養；耕作；養殖,
84,common,共通の；普通の；一般の,
85,certain,確信して；確かな；ある；一定の,
99,correct,正しい；適切な,
110,claim,と主張する；を要求する,
129,communicate,情報交換をする；を伝達する,
130,contain,を含む；を収容する；を抑える,
131,contact,と連絡を取る；接触する,
135,connect,をつなぐ；を関連づける,
151,cell,細胞；独房；電池,
157,character,性格，個性；特徴；登場人物；文字,
181,complex,複雑な；複合（体）の,
182,current,現在の；現代の；通用している,
198,chemical,化学の，化学的な,
210,conduct,を実施する；を導く,
228,contribute,貢献する；（を）寄付する；（を）寄稿する,
241,concept,概念；考え；コンセプト,
244,charge,料金；世話；管理；告発,
245,contrast,（～との）対照,
246,colleague,（職場の）同僚,
249,content,内容，中身；コンテンツ,
253,crop,作物；収穫高,
260,crime,罪，犯罪；違法行為,
261,conflict,争い；論争；不一致,
263,context,状況，背景；文脈,
272,consequence,結果；重大性,
279,cognitive,認知の,
320,consume,を消費する；を食べる，飲む,
321,confuse,を混同する；を当惑させる,
324,convince,を納得させる，確信させる,
336,complain,不平を言う；訴える,
338,combine,を結び付ける；結び付く,
348,capacity,（最大）容量；（潜在）能力,
350,circumstance,状況，事情；境遇,
359,campaign,運動；軍事行動,
366,crisis,危機,
371,custom,（社会的な）慣習；税関；関税,
372,court,裁判所，法廷；宮廷；中庭,
380,conscious,意識して，気づいて,
381,capable,能力がある；有能な,
391,constant,絶え間ない；一定の,
395,convenient,便利な，都合のいい,
413,conclude,と結論づける；を締めくくる；を締結する,
428,compete,競う；匹敵する,
440,consist,（～から）成る；（～に）ある,
441,comment,意見，コメント；批判,
447,confidence,自信；信頼；秘密,
450,category,部類，区分；範疇,
451,capital,資本；首都；大文字,
461,conference,会議；協議,
468,comfort,快適さ；慰め,
477,code,規範；暗号；法典,
487,contemporary,現代の；同時代の；同年輩の,
488,contrary,（～と）反対の,
490,civil,市民の；民間の；民事の,
499,crucial,重要な,
503,concentrate,（を）集中する,
505,criticize,を批判する；を批評する,
518,credit,（功績など）を帰する；を信じる,
520,construct,を建設する；を構成する,
527,cure,を治す；を取り除く；（病気が）治る,
535,celebrate,を祝う；を挙行する,
540,confirm,を確認する；を裏づける,
554,candidate,（～の）候補（者）；志願者,
555,corporation,（大）企業；法人,
571,client,顧客；（弁護士などの）依頼人,
572,colony,植民地；集団居住地；コロニー,
577,contract,契約（書）；協定,
580,curious,好奇心の強い；奇妙な,
585,conventional,従来の；月並みな,
601,commit,献身する；（罪など）を犯す；を投入する,
610,capture,をとらえる；をとりこにする,
621,convey,を伝える；を運ぶ，運搬する,
626,crash,衝突する，墜落する；をぶつけて壊す,
627,cope,うまく処理する,
637,calculate,を計算する；を予測する,
655,clue,（～の）手がかり；（パズルの）ヒント,
666,conservation,（動植物などの）保護；保存,
674,cooperation,協力，共同,
677,component,構成要素；部品,
734,collapse,崩壊する；（人が）倒れる；を折り畳む,
760,contest,コンテスト，競技（会）；争い,
773,channel,チャンネル；伝達経路；海峡,
778,correlation,相互関係，相関（関係）,
781,classic,第一級の；典型的な；定番の,
783,concrete,具体的な；有形の,
808,command,を命じる；を指揮する；（景色）を見渡せる,
820,convert,を変える；を改宗させる；を交換する,
825,correspond,一致する；（～に）相当する；文通する,
833,compose,を構成する；を創作する；を鎮静する,
849,core,核心；芯,
858,courage,勇気,
872,chip,小片，破片；欠けた箇所；集積回路,
876,council,（地方）議会；評議会；（公の）会議,
878,curriculum,教育課程，カリキュラム,
881,casual,何気ない；形式ばらない,
895,collective,集団の，共同の,
901,chase,（を）追跡する；（を）追求する,
921,cultivate,を養う；を耕す；を栽培する,
927,classify,を分類する；を機密扱いにする,
938,confront,に立ち向かう；（困難などが）に立ちはだかる,
939,consult,（に）相談する；を参照する,
946,chart,図，グラフ；海図；ヒットチャート,
969,counterpart,相当する物，人,
977,charm,魅力；お守り,
993,cruel,残酷な；むごい,
1005,crack,ひびが入る；にひびを入れる,
1016,cite,を引き合いに出す；を引用する,
1021,cheat,をだます；不正をする,
1036,complicate,を複雑にする,
1045,compliment,賛辞；表敬,
1063,clinic,診療所，クリニック；（病院内の）～科,
1068,curve,（道路などの）カーブ；曲線,
1111,constitute,を構成する；になる，に等しい,
1116,conceal,を隠す；を秘密にする,
1117,chew,（を）かむ；をかみ砕く,
1129,compound,を悪化させる；を合成する；を混合する,
1132,commute,通勤（通学）する,
1135,cease,をやめる；終わる,
1136,compromise,妥協する；を危うくする,
1142,cue,合図；手がかり；（次の演技の）キュー,
1145,congress,（米国などの）議会；会議,
1151,caution,用心；警告,
1152,controversy,論争,
1153,consensus,総意；（意見の）一致,
1174,column,コラム；欄；円柱；（縦）列,
1198,chronic,慢性の；長引く；常習の,
1211,click,（を）クリックする；をカチッと鳴らす,
1213,clip,を切り抜く；を切り取る；をクリップで留める,
1215,cast,を投じる；に役を当てる,
1234,crush,を押しつぶす；を弾圧する,
1248,cortex,皮質；樹皮,
1250,chamber,（特定の目的の）部屋；議場；議院,
1252,cattle,牛,
1262,commodity,商品；有用なもの,
1268,combat,戦闘；対立,
1275,consent,同意，承諾,
1280,competent,有能な；適任の；満足できる,
1282,cosmetic,化粧の，美容の；うわべの,
1304,compel,に強いる,
1316,confine,を限定する；閉じ込められる,
1332,compute,（を）計算する；コンピューターを使う,
1338,compensate,補償する；に償う,
1339,comprise,から成る；を構成する,
1343,criterion,（判断・評価の）基準,
1352,chaos,混沌，大混乱,
1355,cluster,集団；（植物の）房，束,
1362,cuisine,（独特の）料理，料理法,
1384,compulsory,義務的な，強制的な,
1404,conquer,を征服する；を克服する,
1412,contradict,と矛盾する；に反対意見を言う,
1420,comprehend,を理解する,
1422,cram,に詰め込む；詰め込み勉強をする,
1425,clarify,を明確にする,
1440,coordinate,を調整する；を組織する；をコーディネートする,
1450,compassion,同情,
1452,curse,悪態，ののしりの言葉；呪い；災い,
1454,census,国勢調査；交通調査,
1456,cereal,穀物；シリアル（穀物加工食品）,
1467,county,郡；州,
1470,circulation,循環；流通；（新聞・雑誌の）発行部数,
1474,collision,衝突；対立,
1503,conform,順応する；一致する,
1510,crawl,はう；ゆっくり進む,
1529,contaminate,を汚染する；を堕落させる,
1535,confess,（を）告白する,
1540,conceive,（を）思いつく；と想像する；（を）妊娠する,
1546,clash,衝突；対立；かち合うこと,
1591,crude,大まかな；粗野な；未精製の,
1601,collaborate,共同して働く；（～に）協力する,
1610,carve,を彫る；を切り開く；（肉）を切り分ける,
1612,condemn,を非難する；（～の刑を）宣告される,
1613,convict,に有罪を宣告する,
1621,coincide,同時に起こる；一致する,
1623,cling,しがみつく；くっつく,
1633,converse,（～と）会話をする,
1640,contemplate,（を）熟考する；を予想する,
1643,commerce,商業；貿易,
1649,cabinet,内閣；戸棚,
1684,coherent,一貫した，筋の通った；結束した,
1699,conspicuous,目立つ,
1703,console,を慰める,
1708,constrain,に（...することを）強いる；を抑える,
1732,contend,と主張する；競う,
1745,conscience,良心；分別,
1753,carriage,馬車；車両；立ち居振舞い；輸送,
1767,certificate,証明書；免許状,
1775,courtesy,礼儀正しさ；好意；優遇,
1797,compatible,矛盾しない；互換性のある；気が合う,
1805,cater,（の）料理をまかなう；（要望などに）応える,
1810,cherish,を大切にする；を心に抱く,
1819,corrupt,を堕落させる；を買収する；堕落する,
1822,compile,を編集する；（資料など）をまとめる,
1826,comply,従う，応じる,
1840,commence,始まる；を開始する,
1859,congestion,混雑,
1861,complement,（～の）補完物，補足；（文法の）補語,
1873,contempt,軽蔑；恥辱,
1891,contagious,感染（性）の；病気を伝染する,
1892,cynical,冷笑的な，皮肉な,
