番号,単語,意味,解説文
117,gain,を獲得する；（を）増す,
275,gene,遺伝子,
370,gender,（社会的・文化的）性，性別,
407,generate,を生み出す；（電気など）を発生させる,
511,grant,（人）に（許可・権利など）を与える；を認める,
574,grain,穀物；粒；きめ,
703,guarantee,を保証する,
753,globe,地球；世界；球,
761,guard,警備員；警備隊；監視，警戒,
763,glance,（～を）ちらりと見ること,
770,guideline,指針，ガイドライン；指導基準,
774,glacier,氷河,
794,guilty,罪悪感のある；有罪の,
812,greet,に挨拶する；を迎える,
846,gravity,重力，引力；重量；重大さ,
854,grocery,食料雑貨；食料雑貨店,
880,generous,寛大な；気前のよい；豊富な,
888,genuine,本物の；偽りのない,
903,gaze,じっと見る,
915,grab,をつかむ；を横取りする,
947,geography,地理；地理学,
966,galaxy,星雲，銀河；銀河系,
1002,grasp,を把握する，理解する；をしっかり握る,
1026,govern,（を）統治する，支配する,
1079,grateful,感謝している,
1113,grip,を握る；をとらえる,
1164,gallery,美術館，画廊；観客，ギャラリー,
1173,grave,墓；死,
1371,gear,用具（一式），器具；歯車；ギア,
1373,grief,深い悲しみ,
1391,gradual,徐々の，緩やかな,
1398,gross,総計の；甚だしい；粗野な,
1429,glow,光り輝く；赤く燃える；紅潮する,
1625,grind,（穀物など）をひく,
1641,grace,優美，優雅；分別；（神の）恩寵,
1647,garment,衣服,
1655,glimpse,ちらりと見えること,
1657,glossary,用語小辞典；用語集,
1692,gloomy,陰気な；薄暗い；悲観的な,
1752,grid,（電気などの）供給網；格子（模様）；碁盤目,
1768,geometry,幾何学,
1871,greed,強欲,
