番号,単語,意味,解説文
16,tend,傾向がある；を世話する,
57,thought,考え；思考,
62,theory,学説；理論；原理；推測,
71,term,用語；条件；間柄；学期,
77,technology,科学技術；応用技術,
125,treat,を扱う；を治療する,
142,task,（課せられた）仕事，作業；課題,
148,trade,貿易；商売，取引,
254,topic,話題，トピック；主題,
255,technique,技術；技巧；手法,
267,trend,傾向；流行,
269,traffic,交通；通行；輸送量；（不正）取引,
276,track,跡；軌道；番線；走路,
303,trust,を信頼する；を託す,
341,target,（到達・攻撃）目標；的,
352,threat,脅威；（悪い）兆し；脅迫,
398,typical,典型的な；特有の,
410,tear,を引き裂く；裂ける,
455,trait,特性,
465,tip,助言，秘訣；チップ；先端,
473,tribe,部族；仲間,
475,trial,試み，試験；裁判；試用期間,
502,translate,を翻訳する；を変える,
519,transform,を変える；変わる,
528,transport,を輸送する；を運ぶ,
576,treasure,宝物，財宝；財産,
611,transfer,を移す；を伝える；移る；乗り換える,
618,trace,（足跡・起源など）をたどる；を捜し出す,
642,therapy,療法；心理療法,
648,tone,口調；音色；雰囲気；色調,
662,territory,領土；（活動の）領域；テリトリー,
669,trap,わな；苦境,
670,trick,こつ；策略；いたずら；芸当,
699,tropical,熱帯の,
765,tissue,（生物の）組織；ティッシュペーパー,
793,temporary,一時的な,
914,trigger,を引き起こす；のきっかけとなる,
955,tragedy,悲劇（的な事態）,
964,transition,移り変わり；過渡期,
972,trail,（野山などの）小道；跡；手がかり,
1006,tap,を軽くたたく；（液体）を出す；を盗聴する,
1028,transmit,を伝える；（電波・信号など）を送る,
1032,thrill,をぞくぞくさせる；わくわくする,
1086,tremendous,途方もない，莫大な；すばらしい,
1178,tablet,タブレット（型情報端末）；錠剤；平板,
1187,tense,張り詰めた，緊張した,
1203,tackle,に取り組む；と話をつける,
1209,thrive,繁栄する，うまくいく；繁茂する,
1217,tempt,を（...する）気にさせる；を引きつける,
1233,twist,をねじる，ひねる；を歪曲する,
1247,temper,気質，気性；機嫌；かんしゃく,
1285,transparent,透明な；明快な,
1292,toxic,有毒な；中毒性の,
1297,trivial,ささいな，取るに足りない,
1306,terrify,を怖がらせる；を脅かす,
1349,troop,軍隊；集団,
1367,tuition,授業料；（個人）指導,
1376,tomb,墓,
1447,transaction,（商）取引；（人と人との）交流,
1463,triumph,勝利；勝利の喜び；偉業,
1472,theft,窃盗（罪）,
1478,treaty,（国家間の）条約；協定,
1480,thorough,徹底的な；まったくの,
1483,tame,飼いならされた，人に慣れた；退屈な,
1499,tidy,きちんとした，整頓された；相当の,
1521,transplant,を移植する；を移住させる,
1532,tolerate,を許容する，我慢する,
1568,tide,潮（の干満）；動向,
1646,timber,木材；樹木,
1648,thread,糸；（議論などの）筋道,
1652,toll,損害（の程度）；死傷者数；通行料,
1673,tumor,腫瘍；腫れ物,
1693,thermal,熱の，熱による；保温用の,
1711,tweet,（を）ツイートする，つぶやく,
1724,tease,（を）からかう；をいじめる,
1741,tactics,作戦，方策；戦術，戦法,
1746,textile,織物；繊維（産業）,
1778,thesis,論文；命題，テーゼ,
1807,torture,を拷問にかける；を苦しめる,
1832,thrust,を押しつける；を突き刺す；押し進む,
1870,thirst,（のどの）渇き；渇望,
1874,texture,感触，手触り；本質；質感,
1889,timid,臆病な；内気な,
