番号,単語,意味,解説文
23,limit,を制限する，規制する,
80,likely,ありそうな,
177,link,関連，つながり；交通手段；リンク,
294,legal,法律の；合法の,
368,lecture,講義，講演；説教,
417,locate,位置する；の位置を探し当てる,
445,laboratory,実験室，研究室,
466,lawyer,弁護士,
472,landscape,風景；領域；状況,
485,linguistic,言語の，言語学の,
547,loan,貸付金，融資；貸すこと,
600,latter,後者の，後半の,
640,launch,を開始する；を売り出す；を発射する,
652,logic,論理；道理；論理学,
710,lend,を貸す；（人）に（助言・援助など）を与える,
742,literacy,読み書きの能力；（特定分野の）知識,
745,license,免許（証）；許可,
747,layer,層,
759,league,（競技）連盟；同盟,
766,liquid,液体,
780,literary,文学の；文語の,
782,liberal,自由主義の；寛大な；一般教養の,
871,luxury,ぜいたく（品）；豪華な,
900,likewise,同様に,
905,load,に積む；に負わせる,
930,lean,傾く；寄りかかる；をもたせかける,
1027,log,ログオンする；を記録する,
1030,leap,跳ぶ；さっと動く；急上昇する,
1150,landmine,地雷,
1346,legislation,法律；立法,
1476,landmark,（ある場所の）目印；画期的な出来事,
1500,loyal,（～に）忠実な；誠実な,
1565,limb,手足,
1567,laundry,洗濯（物）；クリーニング店,
1574,librarian,司書，図書館員,
1579,legitimate,合法的な；妥当な,
1622,lag,遅れる；徐々に弱まる,
1629,leak,漏れる；を漏らす,
1659,legacy,遺産,
1676,longevity,長寿；寿命；長年勤続,
1685,literal,文字どおりの；逐語的な；散文的な,
1765,liver,肝臓,
1850,latitude,緯度；（行動・思想などの）許容範囲,
1880,liable,しがちな；（～を）受けやすい；責任がある,
