番号,単語,意味,解説文
22,force,に強いる；を強要する,
39,found,を設立する；を築く,
66,focus,焦点；関心の的,
150,figure,数字；姿；人物；図表,
167,feature,特徴；顔つき；特集記事,
168,function,機能；関数,
188,financial,財政（上）の；財界の,
216,feed,に食べ物を与える；に供給する；餌を食べる,
242,fashion,流行，ファッション；方法，流儀,
265,fuel,燃料；勢いを増加させるもの,
286,familiar,精通している；よく知られている,
292,false,間違った；虚偽の；偽の,
334,flow,流れる；生じる,
360,fund,基金，資金,
376,fossil,化石；時代遅れの人,
383,fundamental,基本的な；必須の,
385,firm,確固たる；堅固な；安定した,
434,favor,に賛成する；を好む；をひいきする,
459,facility,施設，設備；機能；才能,
512,freeze,凍る；を凍らせる；を凍結する,
533,fascinate,を魅了する,
544,fee,料金；謝礼,
553,fellow,仲間，同僚；同級生；男,
590,flexible,融通の利く，柔軟な,
632,frighten,（人）を怖がらせる,
660,frame,枠，（額）縁；骨組み；体格,
671,fault,責任；欠点；誤り,
689,frequent,頻繁な,
700,forth,前へ，先へ；それ以降,
777,fortune,財産；幸運；運命,
785,federal,連邦（政府）の,
814,frustrate,をいら立たせる；（計画・希望など）を挫折させる,
857,faith,（～への）信頼；信仰（心）,
868,flavor,風味；特色,
908,float,漂う，浮かぶ；を浮かべる,
932,fold,を折り畳む；（両腕）を組む；（折り）畳める,
940,fulfill,を実現させる；を果たす；を満たす,
942,formation,形成；構成（物）；隊列,
954,fate,運命；結末；最期,
962,folk,人々；皆さん；家族,
963,fare,（乗り物の）料金,
988,fluent,流ちょうな,
994,fake,偽の；見せかけだけの,
1008,forecast,を予想する，予測する,
1013,forbid,を禁じる,
1022,foster,をはぐくむ；を養育する；を心に抱く,
1056,faculty,能力，機能；学部；教授陣,
1065,fatigue,疲労,
1070,fingerprint,指紋,
1071,file,ファイル；（書類の）とじ込み,
1075,fabric,織物，布（地）；構造,
1076,fantasy,空想；幻想；幻想的作品,
1077,fancy,（気まぐれな）好み；空想；思いつき,
1104,filter,をろ過する；を取り除く,
1115,fade,薄れる；衰える,
1155,fiber,繊維（質）；本質；精神力,
1165,fame,名声,
1196,fairy,妖精の（ような）,
1208,flourish,繁栄する；繁茂する；を振りかざす,
1230,forgive,を許す；を免除する,
1254,fluid,流動体，液体,
1259,famine,飢饉；（食糧・物資の）ひどい不足,
1263,format,書式，形式；（本などの）型,
1271,fraction,わずか，一部；分数,
1312,flee,（から）逃げる,
1335,flip,を（ぱっと）裏返す；を軽くはじく,
1361,feast,祝宴；大ごちそう；楽しみ,
1366,formula,方法，解決策；公式,
1389,fragile,壊れやすい；虚弱な,
1423,flock,群がる，集まる,
1453,funeral,葬式,
1457,fragment,断片,
1494,fierce,猛烈な；どう猛な,
1554,frontier,最先端；辺境地；国境,
1564,flesh,（人・動物の）肉；果肉,
1588,feminine,女らしい,
1636,frown,眉をひそめる,
1666,flame,炎；情熱,
1694,faint,かすかな；めまいがする；弱々しい,
1729,flush,を紅潮させる；を水で流す；紅潮する,
1737,fetch,を（行って）持って（連れて）くる,
1742,feat,偉業，功績；妙技,
1754,friction,不和；摩擦,
1787,fertile,肥沃な；多産の,
1829,flap,パタパタ動く；羽ばたく；をパタパタ動かす,
1830,furnish,に（～を）備えつける,
1831,forge,を偽造する；（関係など）を築く；を鍛造する,
1849,fallacy,誤った考え，誤信；錯誤,
1885,furious,激怒した；猛烈な,
