番号,単語,意味,解説文
10,produce,を生産する；を取り出す,
60,practice,実践；慣習；練習,
68,project,計画；事業；研究計画,
81,possible,可能な；可能性のある,
83,public,公の；公衆の；公開の,
89,patient,忍耐強い；勤勉な,
90,particular,特定の；特別の；やかましい,
91,physical,身体の；物質的な；物理学の,
95,political,政治（上）の,
116,prepare,を準備する；を調理する,
122,perform,（を）行う；演じる；演奏する,
123,prefer,のほうを好む,
126,prove,を証明する；判明する,
137,prevent,を妨げる；を防ぐ,
140,publish,を出版する；を公表する,
146,policy,政策，方針；主義,
159,phrase,句；成句；言葉遣い,
179,positive,肯定的な；積極的な；確信して；陽性の,
192,potential,潜在的な；可能性を秘めた,
197,plastic,柔軟な；プラスチックの,
213,promote,を促進する；昇進する,
247,pain,苦痛，痛み；苦悩；骨折り,
266,pollution,汚染，公害,
278,progress,進歩；前進,
291,previous,以前の，前の,
301,predict,を予言する，予測する,
327,preserve,を保存する；を保持する；を保護する,
332,participate,参加する,
343,principle,原則，原理；主義，信条,
344,phenomenon,現象,
347,personality,個性，性格,
349,profit,利益；収益（率）；得,
365,perspective,観点，見方；大局観；遠近法,
369,psychology,心理学；心理（状態）,
404,purchase,を購入する,
421,perceive,に気づく；を知覚する；を理解する,
425,praise,を賞賛する；賛美する,
436,propose,を提案する；結婚を申し込む,
446,presence,存在；出席；面前,
464,proportion,割合；部分；釣り合い,
469,philosophy,哲学；原理；人生観,
484,proper,適切な；正式の；固有の,
570,physician,医師；内科医,
579,prime,主要な，最も重要な；最適な；極上の,
599,precise,正確な；精密な；まさにその,
604,pursue,を追求する；に従事する,
613,persuade,を説得する；に確信させる,
624,puzzle,を当惑させる,
628,permit,を許可する,
651,priority,優先（事項）,
668,predator,捕食動物；略奪者,
675,patent,特許（権）；特許品,
683,principal,主要な；資本金の,
690,permanent,永続的な,
701,possess,を所有している；の心をとらえる,
724,pretend,（の）ふりをする,
736,protest,（に）抗議する；を主張する,
749,protein,たんぱく質,
750,profession,職業；専門職；同業者仲間,
768,prejudice,（～に対する）偏見,
771,platform,プラットフォーム；演壇；舞台,
775,primate,霊長目の動物,
786,primitive,原始的な；未開の,
789,plain,明らかな；平易な；飾りのない；率直な,
796,pure,純粋な；潔白な；まったくの,
804,pose,（危険）を引き起こす；（問題など）を提起する；ポーズをとる,
810,pop,ひょいと動く；不意に現れる；ポンとはじける,
811,pile,を積み重ねる；積み重なる,
818,peer,（～を）じっと見る,
832,prohibit,を禁止する,
835,punish,を罰する；に損傷を与える,
841,passion,情熱；熱中；激怒,
843,phase,段階，局面；側面,
860,prospect,見込み；（未来への）展望；有望な人,
869,portion,部分；1人前；割り当て,
875,prefecture,（日本の）県，府,
879,precious,貴重な；高価な,
897,profound,重大な；深い；難解な,
909,pour,を注ぐ；激しく降る；押し寄せる,
911,pronounce,を発音する；を宣言する,
929,pause,（一時的に）中止する；（一瞬）立ち止まる,
934,pump,（液体・気体）をポンプで送り込む；をくみ出す,
941,privilege,特権，特典,
948,panel,（専門家の）一団；討論者一同；羽目板,
971,pedestrian,歩行者,
979,prominent,卓越した；目立つ,
981,prompt,即座の，迅速な,
987,polar,極地の；電極の,
990,passive,受動的な；消極的な,
1037,pitch,を投げる；倒れる；縦揺れする,
1038,persist,続く；固執する,
1041,premise,前提；（建物を含めた）構内，敷地,
1055,penalty,（刑）罰；罰金；ペナルティー,
1059,particle,（微）粒子；ほんのわずか,
1062,poll,世論調査；投票（数）,
1073,pesticide,殺虫剤；除草剤,
1074,panic,パニック（状態）；狼狽,
1095,pregnant,妊娠した；（～で）満ちている,
1101,proceed,進む，進行する；続行する,
1124,polish,を磨く；を洗練させる,
1134,postpone,を延期する,
1160,province,州，省；地方；分野,
1169,prey,獲物；犠牲者,
1176,plot,（小説などの）筋；陰謀,
1186,parallel,（～と）平行の；類似した,
1235,pin,をピンで留める；を突き刺す,
1241,profile,人物の紹介；横顔；輪郭,
1246,pension,年金,
1255,pity,残念なこと；哀れみ,
1256,priest,聖職者,
1289,prehistoric,有史以前の；旧式な,
1295,peculiar,特有の；特異な,
1302,precede,に先行する；に優先する,
1318,prolong,を長引かせる,
1340,prevail,普及している；支配的である；打ち勝つ,
1344,paradox,逆説；矛盾,
1345,parliament,（英国などの）議会；国会議員（団）,
1356,pollen,花粉,
1364,proverb,ことわざ,
1385,probable,十分にありそうな,
1409,portray,を描く；（の役）を演じる,
1445,pill,錠剤，丸薬；ピル，経口避妊薬,
1451,posture,姿勢；心構え,
1458,patch,（～の）部分，斑点；継ぎ；貼り薬,
1491,partial,部分的な；不公平な,
1507,provoke,（感情・行動など）を引き起こす；を挑発する,
1514,populate,に住む；に人を住まわせる,
1534,pray,（を）祈る,
1553,prairie,大草原,
1559,placebo,偽薬，プラシーボ；気休め,
1578,paradigm,理論的枠組み，パラダイム；模範,
1593,pessimistic,悲観的な,
1599,prone,（～に）なりやすい；（...する）傾向がある,
1604,prosper,栄える，成功する；繁殖する,
1615,prescribe,（薬など）を処方する；を規定する,
1638,pledge,を誓う，約束する；を与えることを約束する,
1663,psychiatrist,精神科医,
1671,probe,（無人）宇宙探査機；精査；探り針,
1679,plausible,もっともらしい,
1719,plunge,（～に）突っ込む；没頭する；陥る,
1721,plug,のプラグを電源に差し込む；を（～で）ふさぐ,
1731,presume,と思う；と推定する；を前提とする,
1743,prestige,名声；名声のある,
1748,plague,疫病；（害虫などの）異常発生,
1751,paralysis,麻痺；麻痺（状態）,
1762,predecessor,前任者；前のもの,
1763,personnel,職員，社員,
1773,premium,保険料；プレミア；景品,
1776,protocol,（条約）議定書；外交儀礼；プロトコル,
1793,preliminary,予備の，準備の,
1796,punctual,時間を守る,
1799,pervasive,隅々に広がった；浸透する；充満する,
1804,penetrate,（に）浸透する；（に）進出する；（を）貫く,
1820,preoccupy,の心を奪う，を夢中にさせる,
1847,plight,窮状；（悪い）状態,
1895,perpetual,永続的な；ひっきりなしの,
